songId,artist,genre,duration,playCount,dateAdded
Portrait of Hollow Fire,Quinn Walker,Soul,4:02,192244,9/14/2003
The Shape of Hollow Blood,TheCrimson Choir,Classical,3:58,5148,6/21/2004
Echoes of Burning Time,TheRestless Collective,Ambient,4:22,14,9/8/2022
Dreams of Heavy Truth, Paper Static,Disco,2:37,17,9/2/2020
Dreams of Sacred Fever,The Restless Assembly,Disco,3:13,1,11/16/2018
Ballad of Soft Static,The Restless Fever,Ambient,3:13,5013,7/21/2006
Echoes of Heavy Rain,TheWild Collective,Reggae,3:29,45,8/23/2005
Ballad of Heavy Rain,TheFalse Saints,House,3:52,7874,4/22/2023
Stories of Static Sins, Restless Ghosts,Reggae,2:45,67,10/10/2000
Whispers of Electric Fire, Electric Sinners,Afrobeats,4:21,1682,11/2/2009
Last Days of Forgotten Smoke,The Final Club,K-Pop,3:14,63,1/14/2021
Letters to Heavy Storms,TheWild Saints,Disco,4:22,1131,2/14/2015
Requiem for Slow Hope,False Kids,Disco,2:03,41,2/25/2012
Requiem for Young Eyes,TheWild Assembly,Soul,2:43,3,10/21/2021
Ballad of Crimson Snow,Soft Empire,Classical,3:59,2423,10/1/2001
Midnight in Distant Fire, Paper Dreams,Trap,3:51,7,2/19/1996
Tales from Burning Skies,Endless Cinema,Latin,2:16,1011,2/18/2011
Ballad of Forgotten Blood,The Velvet Fire,Trap,4:29,1862,12/3/2002
Ballad of Electric Youth,The Wild Sinners,Pop,3:46,137,7/21/2023
Children of Slow Youth,The Endless Shadows,Ambient,2:56,858488,11/10/1999
Whispers of Shattered Snow,The Empty Hearts,Soul,2:52,9,9/26/2024
Hymns to Endless Static,TheCold Choir,Ambient,2:53,7340,11/16/2005
Fragments of Sacred Fever,The Young Kids,Lo-Fi,3:00,2,11/1/2005
Children of Hollow Time,Glass Ritual,EDM,2:39,137041,11/27/2000
Stories of Hidden Storms,TheMidnight Empire,Classical,4:19,1,9/11/2003
Portrait of Cold Signals,The Dark Machines,Rock,2:08,32143,5/1/2002
Notes from Hidden Time, Plastic Saints,J-Pop,3:18,57730,8/10/2011
Visions of Final Night,Young Choir,Country,2:36,360978,5/22/1998
Notes from Electric Shadows,The Paper Youth,Disco,3:41,214355,10/4/2024
Requiem for Endless Fever,Plastic Cinema,Ambient,2:08,4316,6/11/2004
Ghosts of Static Skies,TheYoung Ritual,Metal,3:47,1,12/9/2023
Echoes of Velvet Glass,Glass Echoes,Classical,3:39,70493,4/13/2023
Children of Hollow Machines,TheLonely Dreams,Pop,2:13,1,3/14/2024
Stories of Fading Youth, Endless Ritual,Indie,2:30,433726,10/9/2006
Letters to Endless Truth, Crimson Sinners,Funk,3:05,490,7/11/1998
Songs for Forgotten Secrets,The Electric Dreams,Lo-Fi,3:22,2,1/24/2000
Ghosts of Lonely Rain,Sacred Collective,Ambient,3:56,52898,5/2/2005
Prayer for Endless Dreams,The Heavy Ritual,Soundtrack,2:46,72,8/17/2005
Songs for Velvet Signals, Modern Kids,Disco,3:06,5010,4/17/1996
Hymns to Heavy Mirrors, Holy Echoes,Soul,4:00,318,2/18/2021
Tales from Hidden Mirrors,The Velvet Flowers,Jazz,3:44,858198,3/5/2019
Fragments of Neon Time, Heavy Voices,Lo-Fi,3:10,246,12/15/1999
Visions of Wild Smoke,Heavy Hearts,Trap,2:08,1410,6/15/2001
Stories of Empty Hope,Broken Ghosts,Rock,3:31,134679,2/28/2022
Midnight in Soft Truth,The Plastic Ghosts,J-Pop,2:56,780,12/1/2018
Requiem for Velvet Flowers,TheCold Club,Punk,2:09,115167,3/11/2021
Letters to Young Storms,The Paper Sinners,House,2:58,52,3/22/2017
Ballad of Sacred Night, Velvet Angels,Folk,2:43,127549,6/21/2010
Fragments of Static Bones,The Silent Signals,Techno,4:01,14,9/26/2017
Dreams of Burning Static,Midnight Fever,House,3:19,200,5/20/2022
Fragments of Shattered Storms,Dark Cinema,Country,2:08,1,7/6/2024
Echoes of Slow Rivers, Bright Club,Folk,2:18,2,11/15/2020
Tales from Electric Dreams, Hidden Signals,Country,2:55,98859,9/12/2024
Visions of Young Blood,The Lonely Signals,Lo-Fi,3:40,28148,11/17/2003
The Shape of Burning Skies,TheSoft Cinema,Folk,4:25,285226,11/7/2024
Midnight in Velvet Hearts,TheYoung Youth,Blues,2:48,617,3/11/2015
Ghosts of Heavy Dust,The Dark Club,Jazz,3:11,1202,2/18/2024
Stories of Burning Bones,The Soft Echoes,Lo-Fi,2:47,16,10/17/1997
Ballad of Dark Gold,Golden Fire,Drill,3:58,82,7/9/2002
Fragments of Broken Glass,The Holy Angels,Folk,4:24,65,2/28/2016
Ghosts of Bright Flames,TheVelvet Saints,Trap,2:12,7442,5/28/2022
Echoes of Cold Fever,The Paper Sinners,Rock,2:32,36,3/8/2002
Visions of Silent Flowers,False Mirrors,Reggae,3:34,210,11/1/1999
Visions of Lonely Gold,The Glass Cinema,Pop,2:31,65022,2/8/2022
Letters to Lonely Rivers,TheStatic Voices,Latin,2:55,218,10/27/2003
Letters to Shattered Night,The Holy Society,Lo-Fi,2:50,7,11/3/2010
Midnight in Distant Stars, Endless Empire,Disco,2:53,9,8/10/1996
Notes from Empty Flames,TheGlass Club,Metal,3:44,8,10/28/2012
Tales from Restless Static,TheFeral Fever,Funk,2:11,1283,11/21/2012
Dreams of Neon Memories,The Holy Empire,Disco,2:08,4,2/25/1998
Whispers of Midnight Eyes,Crimson Fever,Trap,3:24,8,4/22/1995
Letters to Midnight Mirrors, Heavy Voices,Disco,2:55,86928,2/1/2016
Echoes of Neon Bones,The Golden Wolves,Alternative,2:23,25555,2/14/2012
Whispers of Empty Storms, Feral Strangers,Folk,3:20,32481,7/3/2004
Hymns to Forgotten Snow,The False Hearts,Blues,2:08,333563,6/7/2007
Requiem for Hollow Snow,The Empty Fever,Soul,4:29,4005,6/13/1998
Hymns to Wild Time, Young Signals,Pop,2:28,232,3/18/2015
Letters to Dark Echoes,The Dark Shadows,Funk,2:00,8981,6/7/2008
The Shape of Neon Eyes,Velvet Garden,Rock,2:17,2442,2/14/2005
Ghosts of Bright Static, Empty Hearts,Latin,3:19,59,5/3/2015
Letters to Slow Bones, Restless Ghosts,EDM,2:03,3,2/23/1995
Ballad of Static Lights,TheWild Cinema,Hip-Hop,4:03,28,9/8/2010
Portrait of Final Dreams, Modern Shadows,Alternative,2:42,4,11/28/2004
Children of Velvet Echoes, Paper Machines,Rock,2:59,1169,5/1/2001
Whispers of Burning Blood,Lonely Shadows,Country,4:13,8952,4/5/1999
